Player,Player_URL,Season,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,DEF1,DEF2,NBA1,NBA2,NBA3,AS,6MOY_VOTING,DPOY_VOTING,CPOY_VOTING,MIP_VOTING,ROY_VOTING,MVP_VOTING
Nikola Jokić,https://www.basketball-reference.com/players/j/jokicni01.html,2025,29.0,DEN,C,70.0,70.0,36.7,11.2,19.5,0.576,2.0,4.7,0.417,9.3,14.8,0.627,0.627,5.2,6.4,0.8,2.9,9.9,12.7,10.2,1.8,0.6,3.3,2.3,29.6,32.0,0.663,0.243,0.331,9.0,28.2,19.1,44.1,2.4,1.6,12.8,29.5,12.7,3.8,16.4,0.307,9.9,3.3,13.3,9.8,,,yes,,,yes,,,2.0,,,2.0
Shai Gilgeous-Alexander,https://www.basketball-reference.com/players/g/gilgesh01.html,2025,26.0,OKC,PG,76.0,76.0,34.2,11.3,21.8,0.519,2.1,5.7,0.375,9.2,16.1,0.571,0.569,7.9,8.8,0.898,0.9,4.1,5.0,6.4,1.7,1.0,2.4,2.2,32.7,30.7,0.637,0.263,0.404,2.8,12.6,7.8,31.3,2.4,3.0,8.6,34.8,11.9,4.8,16.7,0.309,8.9,2.6,11.5,8.9,,,yes,,,yes,,10.0,8.0,,,1.0
Giannis Antetokounmpo,https://www.basketball-reference.com/players/a/antetgi01.html,2025,30.0,MIL,PF,67.0,67.0,34.2,11.8,19.7,0.601,0.2,0.9,0.222,11.6,18.7,0.62,0.607,6.5,10.6,0.617,2.2,9.7,11.9,6.5,0.9,1.2,3.1,2.3,30.4,30.5,0.625,0.048,0.536,7.3,29.7,19.0,36.0,1.2,3.2,11.2,35.2,7.8,3.7,11.5,0.241,6.9,2.5,9.5,6.6,,,yes,,,yes,,8.0,,,,3.0
Tyrese Haliburton,https://www.basketball-reference.com/players/h/halibty01.html,2025,24.0,IND,PG,73.0,73.0,33.6,6.5,13.8,0.473,3.0,7.7,0.388,3.5,6.1,0.581,0.582,2.6,3.0,0.851,0.6,3.0,3.5,9.2,1.4,0.7,1.6,1.3,18.6,21.8,0.616,0.559,0.221,1.9,9.7,5.9,38.9,2.1,1.8,9.8,21.6,8.1,2.3,10.4,0.204,5.7,0.2,5.8,4.9,,,,,yes,,,,,,,
Stephen Curry,https://www.basketball-reference.com/players/c/curryst01.html,2025,36.0,GSW,PG,70.0,70.0,32.2,8.1,18.0,0.448,4.4,11.2,0.397,3.6,6.8,0.534,0.572,4.0,4.3,0.933,0.6,3.9,4.4,6.0,1.1,0.4,2.9,1.4,24.5,21.5,0.618,0.623,0.238,1.9,13.3,7.4,31.3,1.7,1.3,12.6,29.8,5.2,2.7,7.9,0.168,6.4,0.0,6.3,4.8,,,,yes,,yes,,,5.0,,,9.0
Jayson Tatum,https://www.basketball-reference.com/players/t/tatumja01.html,2025,26.0,BOS,PF,72.0,72.0,36.4,9.2,20.3,0.452,3.5,10.1,0.343,5.7,10.2,0.559,0.537,5.0,6.1,0.814,0.7,8.0,8.7,6.0,1.1,0.5,2.9,2.2,26.8,21.7,0.582,0.497,0.3,2.0,23.7,12.9,27.0,1.5,1.3,11.2,31.2,5.3,4.2,9.5,0.174,4.4,0.8,5.2,4.8,,,yes,,,yes,,,10.0,,,4.0
LeBron James,https://www.basketball-reference.com/players/j/jamesle01.html,2025,40.0,LAL,SF,70.0,70.0,34.9,9.3,18.1,0.513,2.1,5.7,0.376,7.2,12.5,0.574,0.571,3.7,4.7,0.782,1.0,6.8,7.8,8.2,1.0,0.6,3.7,1.4,24.4,22.7,0.604,0.312,0.261,3.4,21.2,12.6,40.3,1.4,1.5,15.5,30.1,4.9,2.8,7.7,0.152,4.9,0.7,5.6,4.7,,,,yes,,yes,,,7.0,,,6.0
Anthony Edwards,https://www.basketball-reference.com/players/e/edwaran01.html,2025,23.0,MIN,SG,79.0,79.0,36.3,9.1,20.4,0.447,4.1,10.3,0.395,5.1,10.1,0.501,0.547,5.3,6.3,0.837,0.8,4.9,5.7,4.5,1.2,0.6,3.2,1.9,27.6,20.1,0.595,0.503,0.308,2.4,14.8,8.7,20.9,1.6,1.7,12.0,31.4,4.6,3.8,8.4,0.14,4.4,0.0,4.3,4.6,,,,yes,,yes,,,3.0,,,7.0
James Harden,https://www.basketball-reference.com/players/h/hardeja01.html,2025,35.0,LAC,PG,79.0,79.0,35.3,6.7,16.4,0.41,3.0,8.5,0.352,3.7,7.9,0.472,0.501,6.4,7.3,0.874,0.7,5.1,5.8,8.7,1.5,0.7,4.3,2.1,22.8,20.0,0.582,0.516,0.446,2.3,16.1,9.3,36.8,2.1,2.0,18.0,29.6,4.0,4.3,8.3,0.143,3.5,0.8,4.3,4.4,,,,,yes,yes,,,,,,10.0
Domantas Sabonis,https://www.basketball-reference.com/players/s/sabondo01.html,2025,28.0,SAC,C,70.0,70.0,34.7,7.5,12.8,0.59,0.9,2.2,0.417,6.6,10.5,0.627,0.627,3.1,4.1,0.754,3.8,10.1,13.9,6.0,0.7,0.4,2.9,3.3,19.1,22.9,0.655,0.175,0.324,12.3,32.6,22.4,26.0,1.0,1.0,16.5,21.6,7.4,2.7,10.1,0.199,4.2,1.1,5.2,4.4,,,,,,,,,,,,
